EmployeeID,FullName,Title,Department,Section,Email,StartDate,ManagerEmployeeID
E184306,Kate Bahringer-Heathcote,Chief Executive Officer,Executive,Executive,kate.bahringer-heathcote@company.com,2016-09-21,
E977963,Agnes Ledner,Chief Technology Officer,Engineering,Leadership,agnes.ledner@company.com,2010-07-25,E184306
E268940,Dr. Paulette Jakubowski-Stracke,Chief Product Officer,Product,Leadership,dr..jakubowski-stracke@company.com,2013-10-05,E184306
E202184,Glenn Nienow,Chief Marketing Officer,Marketing,Leadership,glenn.nienow@company.com,2014-06-07,E184306
E850517,Dr. Courtney Monahan,Chief Revenue Officer,Sales,Leadership,dr..monahan@company.com,2018-09-07,E184306
E300042,Hope Quigley,Chief Financial Officer,Finance,Leadership,hope.quigley@company.com,2010-02-10,E184306
E517954,Glen Fay,Chief People Officer,Human Resources,Leadership,glen.fay@company.com,2015-01-27,E184306
E869756,Kent Kshlerin,Chief Operating Officer,Operations,Leadership,kent.kshlerin@company.com,2016-03-22,E184306
E582765,Oliver Jaskolski II,General Counsel,Legal,Leadership,oliver.ii@company.com,2014-05-21,E184306
E992131,Saul Koepp,Chief Customer Officer,Customer Support,Leadership,saul.koepp@company.com,2011-05-28,E184306
E633887,Erik Russel,Chief Information Security Officer,Sales,Leadership,erik.russel@company.com,2016-09-17,E184306
E345348,Jeannette Lemke Jr.,Chief Innovation Officer,Engineering,Leadership,jeannette.jr.@company.com,2011-03-08,E184306
E472027,Ellen Koepp,Chief Data Officer,Sales,Leadership,ellen.koepp@company.com,2012-06-07,E184306
E471265,Elmer Spinka,Technical Director,Engineering,Backend,elmer.spinka@company.com,2018-04-01,E977963
E552220,Brandi Goldner,VP of Engineering,Engineering,QA,brandi.goldner@company.com,2018-08-24,E977963
E784839,Willie Kulas,VP of Engineering,Engineering,QA,willie.kulas@company.com,2018-10-12,E977963
E938070,Karla Tromp,VP of Product,Product,Product Analytics,karla.tromp@company.com,2016-07-22,E268940
E922514,Luis Wiegand,VP of Product,Product,Product Strategy,luis.wiegand@company.com,2017-01-23,E268940
E330237,Guadalupe Yost PhD,Head of Design,Product,Product Management,guadalupe.phd@company.com,2020-12-13,E268940
E308909,Theresa Funk,Head of Brand,Marketing,Brand,theresa.funk@company.com,2015-12-15,E202184
E573613,Bessie Jenkins IV,Director of Marketing,Marketing,Digital Marketing,bessie.iv@company.com,2016-08-31,E202184
E843220,Patty Torphy,Director of Sales,Sales,Inside Sales,patty.torphy@company.com,2020-08-19,E850517
E332565,Denise Mraz,VP of Sales,Sales,Sales Operations,denise.mraz@company.com,2016-03-10,E850517
E542958,Bert Pacocha,VP of Finance,Finance,Tax,bert.pacocha@company.com,2018-11-02,E300042
E023516,Dr. Silvia Champlin,Financial Controller,Finance,FP&A,dr..champlin@company.com,2018-05-30,E300042
E936416,Judy Kihn,Financial Controller,Finance,Tax,judy.kihn@company.com,2017-04-24,E300042
E412317,Marcus Hegmann,Head of Talent,Human Resources,Talent Acquisition,marcus.hegmann@company.com,2019-04-26,E517954
E769105,Miss Ramona Jenkins Jr.,Director of HR,Human Resources,Talent Acquisition,miss.jr.@company.com,2017-12-25,E517954
E314332,Kerry Dickens,Head of IT,Operations,Customer Operations,kerry.dickens@company.com,2016-06-22,E869756
E459306,Paula Herman,Director of Operations,Operations,Business Operations,paula.herman@company.com,2015-08-16,E869756
E119608,Christie Bahringer,Compliance Director,Legal,Contracts,christie.bahringer@company.com,2015-01-28,E582765
E287377,Dr. Vicki Larson,Deputy General Counsel,Legal,Corporate,dr..larson@company.com,2022-12-22,E582765
E157081,Lyle Bradtke,VP of Customer Support,Customer Support,Customer Success,lyle.bradtke@company.com,2018-01-19,E992131
E616101,Jeannette Hayes,Head of Support,Customer Support,Customer Experience,jeannette.hayes@company.com,2015-07-01,E992131
E450794,Courtney Dietrich,Head of Support,Customer Support,Training,courtney.dietrich@company.com,2017-11-09,E992131
E415320,Mrs. Rachel Tromp,Director of Customer Success,Customer Support,Customer Success,mrs..tromp@company.com,2018-06-27,E992131
E498409,Lela Olson,VP of Sales,Sales,Channel,lela.olson@company.com,2015-11-18,E633887
E241074,Kristin Bruen,Regional Sales Director,Sales,Sales Operations,kristin.bruen@company.com,2019-02-01,E633887
E158360,Lynette Kovacek,Regional Sales Director,Sales,Channel,lynette.kovacek@company.com,2019-04-29,E633887
E121865,Lloyd Greenholt,Director of Sales,Sales,SMB,lloyd.greenholt@company.com,2019-11-22,E633887
E766741,Frances Gerlach IV,Director of Engineering,Engineering,QA,frances.iv@company.com,2021-12-14,E345348
E070207,Terry Zieme,Technical Director,Engineering,Frontend,terry.zieme@company.com,2015-05-26,E345348
E960776,Bernice Kilback,Director of Sales,Sales,SMB,bernice.kilback@company.com,2021-01-02,E472027
E055671,Lorena Wiza,VP of Sales,Sales,Sales Operations,lorena.wiza@company.com,2018-07-03,E472027
E670123,Luis Emmerich,Regional Sales Director,Sales,Sales Operations,luis.emmerich@company.com,2022-11-29,E472027
E191084,Lisa Hyatt,Team Lead,Engineering,Backend,lisa.hyatt@company.com,2021-12-18,E471265
E513119,Enrique Koss,Team Lead,Engineering,Backend,enrique.koss@company.com,2018-07-08,E471265
E410231,Roy Jast,Technical Lead,Engineering,Backend,roy.jast@company.com,2018-06-01,E471265
E018338,Greg Olson,Engineering Manager,Engineering,QA,greg.olson@company.com,2018-04-17,E552220
E354056,Iris Lind,Technical Lead,Engineering,QA,iris.lind@company.com,2021-06-26,E552220
E305490,Roy Ziemann,Engineering Manager,Engineering,QA,roy.ziemann@company.com,2022-05-09,E552220
E382751,Randal Kerluke,Engineering Manager,Engineering,QA,randal.kerluke@company.com,2022-10-23,E552220
E943255,Dr. Ebony Bergstrom PhD,Team Lead,Engineering,QA,dr..phd@company.com,2020-02-12,E784839
E130389,Mr. Elijah Morissette,Team Lead,Engineering,QA,mr..morissette@company.com,2020-03-20,E784839
E069217,Elvira Lesch,Technical Lead,Engineering,QA,elvira.lesch@company.com,2019-03-21,E784839
E253026,Audrey Collins,Engineering Manager,Engineering,QA,audrey.collins@company.com,2020-08-18,E784839
E655753,Harold Kuvalis,Senior Product Manager,Product,Product Analytics,harold.kuvalis@company.com,2018-07-24,E938070
E380388,Gerard Murazik,Senior Product Manager,Product,Product Analytics,gerard.murazik@company.com,2022-02-18,E938070
E771476,Shari Cruickshank,Design Manager,Product,Product Analytics,shari.cruickshank@company.com,2022-12-25,E938070
E279572,Orville Johnson,Senior Product Manager,Product,Product Analytics,orville.johnson@company.com,2020-12-07,E938070
E753228,Dr. Neil Mueller,Design Manager,Product,Product Analytics,dr..mueller@company.com,2020-08-27,E938070
E957384,Ms. Michelle Roberts,Senior Product Manager,Product,Product Strategy,ms..roberts@company.com,2023-08-26,E922514
E253310,Bradley Skiles II,Product Manager,Product,Product Strategy,bradley.ii@company.com,2021-07-13,E922514
E402003,Vickie Gutmann,Senior Product Manager,Product,Product Strategy,vickie.gutmann@company.com,2021-10-19,E922514
E774237,Dr. Sylvester Sanford,Senior Product Manager,Product,Product Strategy,dr..sanford@company.com,2021-07-25,E922514
E638368,Alexis Hodkiewicz,Design Manager,Product,Product Management,alexis.hodkiewicz@company.com,2020-08-24,E330237
E953733,Samantha Nolan,Design Manager,Product,Product Management,samantha.nolan@company.com,2018-04-20,E330237
E061166,Mrs. Dixie Schuppe II,Product Manager,Product,Product Management,mrs..ii@company.com,2019-01-17,E330237
E083015,Dr. Duane Boehm,Senior Product Manager,Product,Product Management,dr..boehm@company.com,2021-03-13,E330237
